gsea0,geometry,Gi_gsea0,Gi_sum
0.0,POINT (0.3968342321921813 0.2935979470872727),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3446534070489738 0.2058747728256328),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4161404898633731 0.2177024661355588),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4771565227403707 0.2008466804165651),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.3078403463985538 0.1587708103132033),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3206975861891928 0.1613548999086796),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4239336412496274 0.222240054328223),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4318395598909992 0.2451838179906019),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3800610660859551 0.2049811247115938),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.4745812534989633 0.2758715922603447),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.2871576335334986 0.2003129465228589),6.638513260335712,6.638513260335712
0.0,POINT (0.3943364814668852 0.272499447801904),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3898668431983178 0.2685830937079213),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3587396405770668 0.2689878122527779),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.3543044047260568 0.2395480695063238),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3374452459860921 0.2259140192671269),-0.02908372029919354,-0.02908372029919354
0.238050306137045,POINT (0.3015401860077784 0.1941599092714071),-0.020217127368577493,-0.020217127368577493
0.0,POINT (0.2417767211279425 0.1150199996730404),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.33113799543098 0.2043942522611377),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3150365177342329 0.1903298499968888),5.685999405959298,5.685999405959298
0.0,POINT (0.3439894987261391 0.198677433639079),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.367449857204435 0.2012316065467396),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4983719790391749 0.2376567296799289),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.4501775901936174 0.2424103368775838),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.4405096014054307 0.2547658508996892),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.3887910535994285 0.2613907484498916),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.526059668497532 0.2684203058821935),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4391806920154382 0.1958108093014204),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4488101142788693 0.16749456806627),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.5269414203705075 0.2685631927779815),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.5506116073670058 0.2563028178912879),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.5286621508822186 0.2135925050906187),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.5408695248687173 0.216797257198682),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.4828838036669705 0.1090009326321407),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4830398494108069 0.122649675286118),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4218467274390525 0.1364730210028196),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.382222605091054 0.2153056575849897),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.5943162287806344 0.1833083760898976),-0.02908372029919354,-0.02908372029919354
0.0,POINT (0.4981058985399307 0.1986319568077028),-0.02908372029919353,-0.02908372029919353
0.0,POINT (0.4815315923164039 0.1982068885658623),-0.02908372029919354,-0.02908372029919354
